Municipio,Passivo
Arruda dos Vinhos,3127.71
Bombarral,674.23
Cadaval,41.88
Caldas da Rainha,0
Lourinhã,1172.49
Nazaré,600
Óbidos,3630.63
Peniche,2241.8
Sobral de Monte Agraço,1053.29
Torres Vedras,2100
Abrantes,0
Alcanena,190
Constância,0
Entroncamento,3181.88
Ferreira do Zêzere,0
Ourém,4118.15
Sardoal,444.79
Tomar,0
Torres Novas,11226.07
Vila Nova da Barquinha,731.49
Amadora,0
Cascais,8000
Lisboa,59000
Loures,6000
Mafra,3200
Odivelas,0
Oeiras,0
Sintra,0
Vila Franca de Xira,912.53
Alcochete,0
Almada,1900
Barreiro,10201.38
Moita,0
Montijo,1550.55
Palmela,3123.19
Seixal,0
Sesimbra,11854.12
Setúbal,1000
Alcácer do Sal,0
Grândola,1477.04
Odemira,0
Santiago do Cacém,0
Sines,3778.27
Alter do Chão,0
Arronches,0
Avis,560
Campo Maior,0.2
Castelo de Vide,0
Crato,0
Elvas,0
Fronteira,0
Gavião,0
Marvão,0
Monforte,871.34
Mora,0
Nisa,100
Ponte de Sôr,0
Portalegre,595.01
Alandroal,570
Arraiolos,17.08
Borba,4986.12
Estremoz,2710.73
Évora,28583.1
Montemor-o-Novo,0
Mourão,704.86
Portel,428.09
Redondo,0
Reguengos de Monsaraz,4649.88
Sousel,0
Vendas Novas,2000
Viana do Alentejo,0
Vila Viçosa,455.22
Aljustrel,1029.87
Almodôvar,77.82
Alvito,0
Barrancos,0
Beja,0
Castro Verde,0
Cuba,0
Ferreira do Alentejo,393.74
Mértola,12.28
Moura,755.66
Ourique,300
Serpa,0
Vidigueira,0
Almeirim,687.7
Alpiarça,0
Azambuja,3139.29
Benavente,250
Cartaxo,0
Chamusca,4425.41
Coruche,0
Golegã,435.92
Rio Maior,1550.97
Salvaterra de Magos,352
Santarém,29949.74
Albufeira,10007.24
Alcoutim,0
Aljezur,0
Castro Marim,0
Faro,0
Lagoa,4000
Lagos,9118.42
Loulé,18506.38
Monchique,300
Olhão,4120.17
Portimão,0
São Brás de Alportel,0
Silves,0
Tavira,1227.9
Vila do Bispo,0
Vila Real de Santo António,0
Vila do Porto,0
Nordeste,10490.44
Ponta Delgada,0
Povoação,0
Ribeira Grande,668.89
Vila Franca do Campo,0
Angra do Heroísmo,0
Vila da Praia da Vitória,1086
Santa Cruz da Graciosa,0
Velas,0
Lajes do Pico,0
Madalena,430
São Roque do Pico,28.17
Horta,0
Lajes das Flores,0
Santa Cruz das Flores,0
Corvo,0
Calheta,4232.88
Câmara de Lobos,5815.46
Funchal,31910.8
Machico,0
Ponta do Sol,0
Porto Moniz,0
Ribeira Brava,0
Santa Cruz,0
Santana,0
São Vicente,0
Porto Santo,1471.21
