company_permalink;company_name;company_category_code;company_country_code;company_state_code;company_region;company_city;acquirer_permalink;acquirer_name;acquirer_category_code;acquirer_country_code;acquirer_state_code;acquirer_region;acquirer_city;price_amount;id
/company/insideventure;InsideVenture;other;USA;CA;SF Bay;Menlo Park;/company/secondmarket;SecondMarket;finance;USA;NY;New York;New York;;3164
/company/insight-bank;Insight Bank;finance;USA;OH;Columbus;Worthington;/company/first-financial;First Financial;finance;;;unknown;;36000000;3165
/company/insight-distribution-software;Insight Distribution Software;software;;;unknown;;/company/highjump-software;HighJump Software;software;USA;MN;Minneapolis;Minneapolis;;3166
/company/insightera;Insightera;other;USA;CA;SF Bay;San Mateo;/company/marketo;Marketo;software;USA;CA;SF Bay;San Mateo;20000000;3167
/company/insightsone;InsightsOne;analytics;USA;CA;SF Bay;Santa Clara;/company/apigee;Apigee;enterprise;USA;CA;SF Bay;Palo Alto;;3168
/company/inspecttech;InspectTech;;USA;PA;Pittsburg;Pittsburgh;/company/bentley-systems;Bentley Systems;software;USA;PA;Philadelphia;Exton;;3169
/company/inspira;Inspira;cleantech;ESP;;Madrid;Madrid;/company/solfocus;SolFocus;cleantech;USA;CA;SF Bay;San Jose;;3170
/company/instablogs;Instablogs;web;USA;NY;New York;New York;/company/dr-prem-associates;Dr Prem & Associates;consulting;IND;;Mumbai;Mumbai;;3171
/company/instadia;Instadia;enterprise;;;unknown;;/company/omniture;Omniture;advertising;USA;UT;Salt Lake City;Orem;;3172
/company/instagram;Instagram;photo_video;USA;CA;SF Bay;San Francisco;/company/facebook;Facebook;social;USA;CA;SF Bay;Menlo Park;1010470000;3173
/company/installfree;InstallFree;software;ISR;;Raanana;Raanana;/company/watchdox;WatchDox;enterprise;USA;CA;SF Bay;Palo Alto;;3174
/company/instantis;Instantis;software;USA;CA;SF Bay;Santa Clara;/company/oracle;Oracle Corporation;enterprise;USA;CA;SF Bay;Redwood City;;3175
/company/instantservic;InstantService;web;USA;WA;Seattle;Seattle;/company/atg-arttechnologygroup;ATG (Art Technology Group);web;USA;MA;Boston;Cambridge;17000000;3176
